POS Dashboard Metrics,,,,
Metric,Value,,,
Total Successful Transactions,2,,,
Total Products Sold,11,,,
Average Daily Transactions,2,,,
Total Voided Transactions,1,,,
,,,,
Cashier Performance,,,,
Name,Daily Revenue,Weekly Revenue,Monthly Revenue,Total Revenue
EFIXXO,0,560,560,560
,,,,
Top Selling Products,,,,
Product Name,Total Sold,,,
Cookies and Cream,11,,,
,,,,
Sales Trend,,,,
Date,Items Sold,,,
1/27/2026,11,,,
,,,,
Orders Dashboard,,,,
Metric,Value,,,
Total Orders,10,,,
Pending Orders,2,,,
Completed Orders,10,,,
Rejected Orders,5,,,
